frame,raw_speed,smoothed_speed,points,median_px,state
1,,,19,,init
2,31.44,31.44,19,12.99,reinit
3,34.69,33.06,35,14.34,track
4,31.49,31.49,35,13.02,track
5,34.41,32.95,35,14.22,track
6,36.84,34.41,34,15.23,track
7,38.39,34.55,32,15.87,track
8,40.65,34.69,31,16.8,track
9,43.2,35.76,31,17.86,track
10,47.97,36.84,31,19.83,track
11,50.36,37.62,31,20.81,track
12,53.25,38.39,30,22.01,track
13,54.48,39.52,29,22.52,reinit
14,38.86,38.86,17,16.06,reinit
15,54.4,39.75,21,22.49,reinit
16,45.09,40.65,22,18.63,reinit
17,53.84,43.2,21,22.25,reinit
18,86.72,45.09,22,35.84,reinit
19,60.05,47.97,34,24.82,track
20,67.12,50.36,31,27.74,track
21,33.64,50.36,25,13.91,reinit
22,28.54,50.36,19,11.8,reinit
23,27.72,50.36,20,11.46,reinit
24,30.53,50.36,24,12.62,reinit
25,32.02,50.36,25,13.24,reinit
26,30.41,45.09,21,12.57,reinit
27,33.11,38.86,30,13.69,track
28,34.39,34.39,30,14.21,track
29,36.16,34.39,30,14.95,track
30,39.72,34.39,30,16.42,track
31,40.65,34.39,30,16.8,track
32,45.76,34.39,30,18.91,track
33,47.35,34.39,30,19.57,track
34,49.23,34.39,30,20.35,track
35,53.95,34.39,30,22.3,track
36,56.53,36.16,30,23.36,track
37,59.82,39.72,29,24.72,reinit
38,46.6,40.65,38,19.26,track
39,67.78,45.76,38,28.02,track
40,76.81,46.6,38,31.75,track
41,72.45,47.35,35,29.94,track
42,55.32,49.23,27,22.86,reinit
43,42.99,49.23,16,17.77,reinit
44,38.0,49.23,21,15.71,reinit
45,48.16,49.23,17,19.9,reinit
46,48.88,49.23,19,20.2,reinit
47,33.61,49.23,19,13.89,reinit
48,35.25,49.23,20,14.57,reinit
49,26.91,48.88,19,11.12,reinit
50,27.6,48.16,21,11.04,reinit
51,28.04,46.6,27,11.59,reinit
52,39.56,42.99,28,16.35,reinit
53,40.88,40.88,30,16.89,track
54,38.28,39.56,30,15.82,track
55,34.76,38.28,30,14.37,track
56,45.57,38.28,30,18.83,track
57,64.3,38.28,29,26.58,reinit
58,40.32,38.28,39,16.67,track
59,65.6,39.56,37,27.11,track
60,45.96,39.56,31,19.0,track
61,40.61,39.56,31,16.78,track
62,39.05,39.56,29,16.14,reinit
63,64.96,40.32,32,26.85,track
64,57.31,40.61,29,23.69,reinit
65,52.6,40.88,24,21.74,reinit
66,53.56,45.57,27,22.14,reinit
67,41.65,45.57,21,17.21,reinit
68,74.61,45.96,24,30.84,reinit
69,71.61,52.6,15,29.6,reinit
70,59.29,53.56,15,24.51,reinit
71,62.36,57.31,12,25.77,reinit
72,63.08,57.31,14,26.07,reinit
73,47.1,57.31,14,19.47,reinit
74,66.75,57.31,19,27.59,reinit
75,68.14,59.29,28,28.16,reinit
76,71.53,62.36,33,29.57,track
77,77.22,63.08,33,31.92,track
78,66.5,63.08,33,27.49,track
79,57.78,63.08,33,23.88,track
80,51.91,63.08,33,21.45,track
81,45.78,63.08,33,18.92,track
82,42.59,63.08,33,17.6,track
83,40.25,62.36,33,16.64,track
84,38.19,59.29,30,15.71,track
85,43.74,57.78,30,18.08,track
86,43.83,51.91,30,18.12,track
87,56.21,51.91,30,23.23,track
88,44.03,51.91,29,18.2,reinit
89,52.77,51.91,32,21.81,track
90,59.95,51.91,32,24.78,track
91,57.81,51.91,32,23.89,track
92,59.14,51.91,32,24.44,track
93,51.38,51.38,32,21.23,track
94,67.7,51.38,31,27.98,track
95,63.74,51.38,30,26.34,track
96,59.11,52.77,24,24.43,reinit
97,55.17,55.17,26,22.8,reinit
98,37.23,55.17,35,14.4,track
99,89.67,56.21,34,37.06,track
100,123.99,57.81,34,51.25,track
101,86.2,59.11,24,35.63,reinit
102,105.79,59.14,26,43.72,reinit
103,60.52,59.95,23,25.01,reinit
104,72.12,60.52,24,29.81,reinit
105,102.25,63.74,26,42.26,reinit
106,64.36,64.36,17,26.6,reinit
107,74.53,67.7,19,30.81,reinit
108,78.4,72.12,10,32.4,reinit
109,99.55,74.53,10,41.15,reinit
110,,,12,,init
111,92.26,78.4,12,38.13,reinit
112,,,11,,init
113,133.64,86.2,11,55.23,reinit
114,,,9,,init
115,,,11,,init
116,51.65,86.2,11,21.35,reinit
117,,,9,,init
118,,,11,,init
119,103.03,89.67,11,42.58,reinit
120,147.06,92.26,12,60.78,reinit
121,170.64,92.26,11,70.53,reinit
122,66.02,92.26,15,27.29,reinit
123,,,6,,init
124,,,8,,init
125,,,5,,init
126,,,7,,init
127,,,7,,init
128,,,8,,init
129,,,9,,init
130,,,10,,init
131,88.16,88.16,10,36.44,reinit
132,91.91,91.91,11,37.99,reinit
133,63.49,91.91,12,26.24,reinit
134,70.03,88.16,13,28.94,reinit
135,111.45,91.91,13,46.07,reinit
136,86.89,91.91,17,35.91,reinit
137,95.32,92.26,10,39.4,reinit
138,58.36,91.91,11,24.12,reinit
139,,,8,,init
140,,,10,,init
141,78.86,88.16,10,32.6,reinit
142,78.58,86.89,10,32.48,reinit
143,113.25,88.16,12,46.81,reinit
144,101.72,88.16,14,42.04,reinit
145,,,16,,init
146,88.57,88.16,16,36.61,reinit
147,56.18,86.89,15,23.22,reinit
148,62.48,86.89,17,25.82,reinit
149,60.82,78.86,12,25.14,reinit
150,97.06,78.86,15,40.12,reinit
151,102.72,86.89,12,42.46,reinit
152,,,13,,init
153,120.16,88.57,13,49.67,reinit
154,70.38,86.89,13,29.09,reinit
155,76.66,78.86,13,31.68,reinit
156,17.23,78.58,10,7.12,reinit
157,58.4,78.58,13,24.14,reinit
158,29.71,76.66,12,10.09,reinit
159,23.77,70.38,10,9.82,reinit
160,,,11,,init
161,104.33,70.38,11,43.12,reinit
162,61.24,62.48,20,25.31,reinit
163,63.13,62.48,16,26.09,reinit
164,34.21,62.48,17,14.14,reinit
165,26.1,61.24,13,10.79,reinit
166,24.9,61.24,12,10.29,reinit
167,31.15,58.4,11,12.88,reinit
168,26.35,34.21,10,10.89,reinit
169,28.67,31.15,11,11.85,reinit
170,,,14,,init
171,34.98,31.15,14,14.46,reinit
172,36.58,31.15,10,15.12,reinit
173,41.79,34.21,11,17.27,reinit
174,42.35,34.21,12,17.5,reinit
175,44.2,34.98,13,18.27,reinit
176,41.54,36.58,13,17.17,reinit
177,49.54,36.58,15,20.48,reinit
178,65.78,36.58,12,27.19,reinit
179,82.54,36.58,19,34.12,reinit
180,100.91,41.54,22,41.71,reinit
181,155.29,41.79,18,64.18,reinit
182,,,8,,init
183,,,23,,init
184,65.93,42.35,23,27.25,reinit
