frame,raw_speed,smoothed_speed,points,median_px,state
1,,,20,,init
2,43.76,43.76,20,13.87,reinit
3,45.62,44.69,36,14.46,track
4,40.78,43.76,36,12.92,track
5,46.25,44.69,36,14.65,track
6,49.75,45.62,35,15.77,track
7,50.2,45.94,33,15.91,track
8,53.62,46.25,32,16.99,track
9,57.22,48.0,32,18.13,track
10,61.59,49.75,32,19.52,track
11,64.14,49.97,32,20.32,track
12,69.35,50.2,31,21.98,track
13,71.06,51.91,29,22.52,reinit
14,53.14,53.14,21,16.84,reinit
15,63.7,53.38,24,20.18,reinit
16,58.87,53.62,24,18.66,reinit
17,70.23,57.22,21,22.25,reinit
18,113.11,58.87,22,35.84,reinit
19,78.39,61.59,31,24.84,track
20,68.26,63.7,28,21.63,reinit
21,,,19,,init
22,37.23,63.7,19,11.8,reinit
23,36.16,63.7,20,11.46,reinit
24,39.83,63.7,24,12.62,reinit
25,42.28,63.7,27,13.4,reinit
26,40.77,63.7,22,12.92,reinit
27,43.19,58.87,30,13.69,track
28,44.85,53.14,30,14.21,track
29,47.17,47.17,30,14.95,track
30,51.81,47.17,30,16.42,track
31,53.01,47.17,30,16.8,track
32,59.69,47.17,30,18.91,track
33,61.77,47.17,30,19.57,track
34,64.22,47.17,30,20.35,track
35,70.37,47.17,30,22.3,track
36,73.73,47.17,30,23.36,track
37,78.02,51.81,29,24.72,reinit
38,60.78,53.01,38,19.26,track
39,85.43,59.69,38,27.07,track
40,93.31,60.78,37,29.57,track
41,94.1,61.77,34,29.82,track
42,71.81,64.22,26,22.76,reinit
43,58.1,64.22,17,18.41,reinit
44,56.06,64.22,23,17.77,reinit
45,63.92,64.22,22,20.26,reinit
46,73.67,70.37,22,23.35,reinit
47,44.95,70.37,21,14.24,reinit
48,48.84,70.37,23,15.48,reinit
49,46.41,70.37,24,14.71,reinit
50,37.44,63.92,24,11.82,reinit
51,36.57,60.78,27,11.59,reinit
52,51.6,58.1,28,16.35,reinit
53,59.58,58.1,31,18.88,track
54,49.82,56.06,31,15.79,track
55,46.2,51.6,31,14.64,track
56,59.44,51.6,30,18.83,track
57,91.26,51.6,29,28.92,reinit
58,52.59,51.6,41,16.67,track
59,95.53,51.6,39,30.27,track
60,70.92,51.6,33,22.47,track
61,54.09,51.6,32,17.14,track
62,49.57,51.6,29,15.71,reinit
63,60.19,52.59,31,19.07,track
64,68.24,54.09,30,21.63,track
65,64.44,59.44,25,20.42,reinit
66,68.38,59.58,24,21.67,reinit
67,52.35,59.58,20,16.59,reinit
68,84.67,60.19,23,26.83,reinit
69,53.7,60.19,15,17.02,reinit
